Transaction_ID,Transaction_Date,Credit_Card_ID,Transaction_Value,Transaction_Segment
CTID28830551,2016-04-24,1629-9566-3285-2123,23649,SEG25
CTID45504917,2016-02-11,3697-6001-4909-5350,26726,SEG16
CTID47312290,2016-11-01,5864-4475-3659-1440,22012,SEG14
CTID25637718,2016-01-28,5991-4421-8476-3804,37637,SEG17
CTID66743960,2016-03-17,1893-8853-9900-8478,5113,SEG14
CTID22308010,2016-05-15,5206-5979-9383-4538,9551,SEG13
CTID41917614,2016-07-11,5129-6974-6371-2964,29511,SEG13
CTID24523483,2016-07-26,9930-4634-8565-6716,27830,SEG21
CTID59109135,2016-01-16,4092-8604-7363-3393,35328,SEG18
CTID62465865,2016-11-06,3594-2190-6052-1265,9567,SEG21
CTID17879551,2016-10-25,5349-1963-8417-8327,40606,SEG17
CTID24250639,2016-04-30,5689-2440-9593-1931,35617,SEG17
CTID14284190,2016-07-31,1616-5911-1676-5466,5014,SEG18
CTID65086055,2016-11-20,8177-5533-1183-4063,47634,SEG12
CTID83907454,2016-11-03,2056-7091-8023-1914,12061,SEG22
CTID50406334,2016-12-27,4971-8219-1133-6753,8073,SEG18
CTID99443343,2016-12-01,8691-3939-1859-5937,10138,SEG25
CTID18591064,2016-06-05,8706-3809-5167-3899,46113,SEG19
CTID64008410,2016-07-02,2495-1344-4998-6045,39195,SEG23
CTID99000301,2016-10-31,7047-9622-9693-9968,18604,SEG11
CTID62951258,2016-05-31,5583-9751-6086-5673,24874,SEG24
CTID36318745,2016-07-07,1683-2865-3396-4925,33895,SEG16
CTID27479043,2016-04-16,7334-1842-5941-2149,49582,SEG23
CTID85408878,2016-03-04,8462-5562-6993-2745,32989,SEG25
CTID96274982,2016-06-06,8850-8297-4094-3048,14443,SEG17
CTID77584673,2016-08-29,8522-7783-9262-6673,32877,SEG25
CTID57240151,2016-04-26,3810-4783-2207-7703,13737,SEG11
CTID26081247,2016-12-28,9779-2601-5260-2896,35442,SEG20
CTID40734247,2016-03-16,6620-4005-4574-6263,41496,SEG20
